sample	strainID	genus	species	count	count_norm
HAMBI0193	HAMBI_0006	NA	NA	19	14
HAMBI0193	HAMBI_0097	NA	NA	0	0
HAMBI0193	HAMBI_0105	NA	NA	53	70
HAMBI0193	HAMBI_0262	NA	NA	0	0
HAMBI0193	HAMBI_0403	NA	NA	520	307
HAMBI0193	HAMBI_1279	NA	NA	105	79
HAMBI0193	HAMBI_1287	NA	NA	2991	2275
HAMBI0193	HAMBI_1292	NA	NA	1832	1393
HAMBI0193	HAMBI_1299	NA	NA	48	31
HAMBI0193	HAMBI_1842	NA	NA	1	1
HAMBI0193	HAMBI_1896	NA	NA	2	2
HAMBI0193	HAMBI_1923	NA	NA	1229	1090
HAMBI0193	HAMBI_1972	NA	NA	199	105
HAMBI0193	HAMBI_1977	NA	NA	1650	1757
HAMBI0193	HAMBI_1988	NA	NA	1	1
HAMBI0193	HAMBI_2159	NA	NA	17	22
HAMBI0193	HAMBI_2160	NA	NA	9	15
HAMBI0193	HAMBI_2164	NA	NA	1	1
HAMBI0193	HAMBI_2443	NA	NA	0	0
HAMBI0193	HAMBI_2494	NA	NA	54	71
HAMBI0193	HAMBI_2659	NA	NA	4481	5966
HAMBI0193	HAMBI_2792	NA	NA	0	0
HAMBI0193	HAMBI_3031	NA	NA	0	0
HAMBI0193	HAMBI_3237	NA	NA	0	0
HAMBI0194	HAMBI_0006	NA	NA	4	3
HAMBI0194	HAMBI_0097	NA	NA	0	0
HAMBI0194	HAMBI_0105	NA	NA	35	46
HAMBI0194	HAMBI_0262	NA	NA	0	0
HAMBI0194	HAMBI_0403	NA	NA	316	185
HAMBI0194	HAMBI_1279	NA	NA	92	69
HAMBI0194	HAMBI_1287	NA	NA	2143	1617
HAMBI0194	HAMBI_1292	NA	NA	1256	947
HAMBI0194	HAMBI_1299	NA	NA	38	25
HAMBI0194	HAMBI_1842	NA	NA	1	1
HAMBI0194	HAMBI_1896	NA	NA	5	6
HAMBI0194	HAMBI_1923	NA	NA	914	804
HAMBI0194	HAMBI_1972	NA	NA	129	68
HAMBI0194	HAMBI_1977	NA	NA	871	920
HAMBI0194	HAMBI_1988	NA	NA	0	0
HAMBI0194	HAMBI_2159	NA	NA	9	11
HAMBI0194	HAMBI_2160	NA	NA	7	12
HAMBI0194	HAMBI_2164	NA	NA	2	2
HAMBI0194	HAMBI_2443	NA	NA	0	0
HAMBI0194	HAMBI_2494	NA	NA	28	36
HAMBI0194	HAMBI_2659	NA	NA	3402	4493
HAMBI0194	HAMBI_2792	NA	NA	0	0
HAMBI0194	HAMBI_3031	NA	NA	0	0
HAMBI0194	HAMBI_3237	NA	NA	0	0
HAMBI0195	HAMBI_0006	NA	NA	5	3
HAMBI0195	HAMBI_0097	NA	NA	0	0
HAMBI0195	HAMBI_0105	NA	NA	27	36
HAMBI0195	HAMBI_0262	NA	NA	0	0
HAMBI0195	HAMBI_0403	NA	NA	466	281
HAMBI0195	HAMBI_1279	NA	NA	79	61
HAMBI0195	HAMBI_1287	NA	NA	1798	1394
HAMBI0195	HAMBI_1292	NA	NA	947	734
HAMBI0195	HAMBI_1299	NA	NA	10	6
HAMBI0195	HAMBI_1842	NA	NA	1	1
HAMBI0195	HAMBI_1896	NA	NA	0	0
HAMBI0195	HAMBI_1923	NA	NA	1123	1016
HAMBI0195	HAMBI_1972	NA	NA	97	52
HAMBI0195	HAMBI_1977	NA	NA	1054	1144
HAMBI0195	HAMBI_1988	NA	NA	0	0
HAMBI0195	HAMBI_2159	NA	NA	7	9
HAMBI0195	HAMBI_2160	NA	NA	2	3
HAMBI0195	HAMBI_2164	NA	NA	0	0
HAMBI0195	HAMBI_2443	NA	NA	0	0
HAMBI0195	HAMBI_2494	NA	NA	21	28
HAMBI0195	HAMBI_2659	NA	NA	2415	3277
HAMBI0195	HAMBI_2792	NA	NA	0	0
HAMBI0195	HAMBI_3031	NA	NA	0	0
HAMBI0195	HAMBI_3237	NA	NA	1	0
HAMBI0196	HAMBI_0006	NA	NA	3	2
HAMBI0196	HAMBI_0097	NA	NA	0	0
HAMBI0196	HAMBI_0105	NA	NA	13	17
HAMBI0196	HAMBI_0262	NA	NA	0	0
HAMBI0196	HAMBI_0403	NA	NA	187	112
HAMBI0196	HAMBI_1279	NA	NA	14	10
HAMBI0196	HAMBI_1287	NA	NA	1251	967
HAMBI0196	HAMBI_1292	NA	NA	702	543
HAMBI0196	HAMBI_1299	NA	NA	10	6
HAMBI0196	HAMBI_1842	NA	NA	2	2
HAMBI0196	HAMBI_1896	NA	NA	1	1
HAMBI0196	HAMBI_1923	NA	NA	272	245
HAMBI0196	HAMBI_1972	NA	NA	79	42
HAMBI0196	HAMBI_1977	NA	NA	490	530
HAMBI0196	HAMBI_1988	NA	NA	0	0
HAMBI0196	HAMBI_2159	NA	NA	3	4
HAMBI0196	HAMBI_2160	NA	NA	2	3
HAMBI0196	HAMBI_2164	NA	NA	0	0
HAMBI0196	HAMBI_2443	NA	NA	0	0
HAMBI0196	HAMBI_2494	NA	NA	17	23
HAMBI0196	HAMBI_2659	NA	NA	1501	2032
HAMBI0196	HAMBI_2792	NA	NA	0	0
HAMBI0196	HAMBI_3031	NA	NA	0	0
HAMBI0196	HAMBI_3237	NA	NA	0	0
HAMBI0197	HAMBI_0006	NA	NA	4	3
HAMBI0197	HAMBI_0097	NA	NA	0	0
HAMBI0197	HAMBI_0105	NA	NA	22	29
HAMBI0197	HAMBI_0262	NA	NA	0	0
HAMBI0197	HAMBI_0403	NA	NA	159	96
HAMBI0197	HAMBI_1279	NA	NA	45	34
HAMBI0197	HAMBI_1287	NA	NA	1589	1235
HAMBI0197	HAMBI_1292	NA	NA	946	735
HAMBI0197	HAMBI_1299	NA	NA	11	7
HAMBI0197	HAMBI_1842	NA	NA	1	1
HAMBI0197	HAMBI_1896	NA	NA	2	2
HAMBI0197	HAMBI_1923	NA	NA	452	410
HAMBI0197	HAMBI_1972	NA	NA	94	51
HAMBI0197	HAMBI_1977	NA	NA	620	674
HAMBI0197	HAMBI_1988	NA	NA	0	0
HAMBI0197	HAMBI_2159	NA	NA	5	6
HAMBI0197	HAMBI_2160	NA	NA	3	5
HAMBI0197	HAMBI_2164	NA	NA	0	0
HAMBI0197	HAMBI_2443	NA	NA	0	0
HAMBI0197	HAMBI_2494	NA	NA	7	9
HAMBI0197	HAMBI_2659	NA	NA	1815	2469
HAMBI0197	HAMBI_2792	NA	NA	0	0
HAMBI0197	HAMBI_3031	NA	NA	0	0
HAMBI0197	HAMBI_3237	NA	NA	0	0
HAMBI0198	HAMBI_0006	NA	NA	0	0
HAMBI0198	HAMBI_0097	NA	NA	0	0
HAMBI0198	HAMBI_0105	NA	NA	16	20
HAMBI0198	HAMBI_0262	NA	NA	0	0
HAMBI0198	HAMBI_0403	NA	NA	71	41
HAMBI0198	HAMBI_1279	NA	NA	19	14
HAMBI0198	HAMBI_1287	NA	NA	719	538
HAMBI0198	HAMBI_1292	NA	NA	297	222
HAMBI0198	HAMBI_1299	NA	NA	8	5
HAMBI0198	HAMBI_1842	NA	NA	0	0
HAMBI0198	HAMBI_1896	NA	NA	3	3
HAMBI0198	HAMBI_1923	NA	NA	181	158
HAMBI0198	HAMBI_1972	NA	NA	42	22
HAMBI0198	HAMBI_1977	NA	NA	312	327
HAMBI0198	HAMBI_1988	NA	NA	0	0
HAMBI0198	HAMBI_2159	NA	NA	5	6
HAMBI0198	HAMBI_2160	NA	NA	2	3
HAMBI0198	HAMBI_2164	NA	NA	0	0
HAMBI0198	HAMBI_2443	NA	NA	0	0
HAMBI0198	HAMBI_2494	NA	NA	6	7
HAMBI0198	HAMBI_2659	NA	NA	987	1294
HAMBI0198	HAMBI_2792	NA	NA	1	1
HAMBI0198	HAMBI_3031	NA	NA	0	0
HAMBI0198	HAMBI_3237	NA	NA	0	0
HAMBI0199	HAMBI_0006	NA	NA	0	0
HAMBI0199	HAMBI_0097	NA	NA	0	0
HAMBI0199	HAMBI_0105	NA	NA	43	74
HAMBI0199	HAMBI_0262	NA	NA	0	0
HAMBI0199	HAMBI_0403	NA	NA	77	59
HAMBI0199	HAMBI_1279	NA	NA	35	34
HAMBI0199	HAMBI_1287	NA	NA	1081	1077
HAMBI0199	HAMBI_1292	NA	NA	173	172
HAMBI0199	HAMBI_1299	NA	NA	58	50
HAMBI0199	HAMBI_1842	NA	NA	0	0
HAMBI0199	HAMBI_1896	NA	NA	0	0
HAMBI0199	HAMBI_1923	NA	NA	226	262
HAMBI0199	HAMBI_1972	NA	NA	2186	1524
HAMBI0199	HAMBI_1977	NA	NA	93	129
HAMBI0199	HAMBI_1988	NA	NA	0	0
HAMBI0199	HAMBI_2159	NA	NA	1	1
HAMBI0199	HAMBI_2160	NA	NA	0	0
HAMBI0199	HAMBI_2164	NA	NA	0	0
HAMBI0199	HAMBI_2443	NA	NA	0	0
HAMBI0199	HAMBI_2494	NA	NA	1	1
HAMBI0199	HAMBI_2659	NA	NA	785	1368
HAMBI0199	HAMBI_2792	NA	NA	0	0
HAMBI0199	HAMBI_3031	NA	NA	0	0
HAMBI0199	HAMBI_3237	NA	NA	1	1
HAMBI0200	HAMBI_0006	NA	NA	11	10
HAMBI0200	HAMBI_0097	NA	NA	0	0
HAMBI0200	HAMBI_0105	NA	NA	126	213
HAMBI0200	HAMBI_0262	NA	NA	0	0
HAMBI0200	HAMBI_0403	NA	NA	220	165
HAMBI0200	HAMBI_1279	NA	NA	39	37
HAMBI0200	HAMBI_1287	NA	NA	2802	2709
HAMBI0200	HAMBI_1292	NA	NA	263	254
HAMBI0200	HAMBI_1299	NA	NA	49	41
HAMBI0200	HAMBI_1842	NA	NA	0	0
HAMBI0200	HAMBI_1896	NA	NA	0	0
HAMBI0200	HAMBI_1923	NA	NA	897	1011
HAMBI0200	HAMBI_1972	NA	NA	2651	1794
HAMBI0200	HAMBI_1977	NA	NA	158	213
HAMBI0200	HAMBI_1988	NA	NA	0	0
HAMBI0200	HAMBI_2159	NA	NA	0	0
HAMBI0200	HAMBI_2160	NA	NA	1	2
HAMBI0200	HAMBI_2164	NA	NA	0	0
HAMBI0200	HAMBI_2443	NA	NA	0	0
HAMBI0200	HAMBI_2494	NA	NA	0	0
HAMBI0200	HAMBI_2659	NA	NA	1102	1864
HAMBI0200	HAMBI_2792	NA	NA	1	1
HAMBI0200	HAMBI_3031	NA	NA	0	0
HAMBI0200	HAMBI_3237	NA	NA	1	1
HAMBI0201	HAMBI_0006	NA	NA	26	24
HAMBI0201	HAMBI_0097	NA	NA	1	0
HAMBI0201	HAMBI_0105	NA	NA	218	365
HAMBI0201	HAMBI_0262	NA	NA	0	0
HAMBI0201	HAMBI_0403	NA	NA	444	330
HAMBI0201	HAMBI_1279	NA	NA	76	72
HAMBI0201	HAMBI_1287	NA	NA	3053	2922
HAMBI0201	HAMBI_1292	NA	NA	1401	1340
HAMBI0201	HAMBI_1299	NA	NA	187	156
HAMBI0201	HAMBI_1842	NA	NA	0	0
HAMBI0201	HAMBI_1896	NA	NA	2	3
HAMBI0201	HAMBI_1923	NA	NA	1132	1264
HAMBI0201	HAMBI_1972	NA	NA	5581	3739
HAMBI0201	HAMBI_1977	NA	NA	829	1110
HAMBI0201	HAMBI_1988	NA	NA	0	0
HAMBI0201	HAMBI_2159	NA	NA	0	0
HAMBI0201	HAMBI_2160	NA	NA	3	6
HAMBI0201	HAMBI_2164	NA	NA	0	0
HAMBI0201	HAMBI_2443	NA	NA	0	0
HAMBI0201	HAMBI_2494	NA	NA	4	6
HAMBI0201	HAMBI_2659	NA	NA	2386	3996
HAMBI0201	HAMBI_2792	NA	NA	3	5
HAMBI0201	HAMBI_3031	NA	NA	0	0
HAMBI0201	HAMBI_3237	NA	NA	0	0
HAMBI0202	HAMBI_0006	NA	NA	12	10
HAMBI0202	HAMBI_0097	NA	NA	0	0
HAMBI0202	HAMBI_0105	NA	NA	55	84
HAMBI0202	HAMBI_0262	NA	NA	0	0
HAMBI0202	HAMBI_0403	NA	NA	281	192
HAMBI0202	HAMBI_1279	NA	NA	26	22
HAMBI0202	HAMBI_1287	NA	NA	941	829
HAMBI0202	HAMBI_1292	NA	NA	234	206
HAMBI0202	HAMBI_1299	NA	NA	32	24
HAMBI0202	HAMBI_1842	NA	NA	0	0
HAMBI0202	HAMBI_1896	NA	NA	2	3
HAMBI0202	HAMBI_1923	NA	NA	288	296
HAMBI0202	HAMBI_1972	NA	NA	1312	809
HAMBI0202	HAMBI_1977	NA	NA	126	155
HAMBI0202	HAMBI_1988	NA	NA	0	0
HAMBI0202	HAMBI_2159	NA	NA	0	0
HAMBI0202	HAMBI_2160	NA	NA	0	0
HAMBI0202	HAMBI_2164	NA	NA	0	0
HAMBI0202	HAMBI_2443	NA	NA	0	0
HAMBI0202	HAMBI_2494	NA	NA	3	4
HAMBI0202	HAMBI_2659	NA	NA	1234	1904
HAMBI0202	HAMBI_2792	NA	NA	0	0
HAMBI0202	HAMBI_3031	NA	NA	0	0
HAMBI0202	HAMBI_3237	NA	NA	0	0
HAMBI0203	HAMBI_0006	NA	NA	23	19
HAMBI0203	HAMBI_0097	NA	NA	0	0
HAMBI0203	HAMBI_0105	NA	NA	226	338
HAMBI0203	HAMBI_0262	NA	NA	0	0
HAMBI0203	HAMBI_0403	NA	NA	1061	706
HAMBI0203	HAMBI_1279	NA	NA	34	29
HAMBI0203	HAMBI_1287	NA	NA	4600	3937
HAMBI0203	HAMBI_1292	NA	NA	117	100
HAMBI0203	HAMBI_1299	NA	NA	15	11
HAMBI0203	HAMBI_1842	NA	NA	0	0
HAMBI0203	HAMBI_1896	NA	NA	15	22
HAMBI0203	HAMBI_1923	NA	NA	1199	1197
HAMBI0203	HAMBI_1972	NA	NA	1316	788
HAMBI0203	HAMBI_1977	NA	NA	192	230
HAMBI0203	HAMBI_1988	NA	NA	0	0
HAMBI0203	HAMBI_2159	NA	NA	0	0
HAMBI0203	HAMBI_2160	NA	NA	0	0
HAMBI0203	HAMBI_2164	NA	NA	0	0
HAMBI0203	HAMBI_2443	NA	NA	0	0
HAMBI0203	HAMBI_2494	NA	NA	0	0
HAMBI0203	HAMBI_2659	NA	NA	2837	4250
HAMBI0203	HAMBI_2792	NA	NA	6	8
HAMBI0203	HAMBI_3031	NA	NA	0	0
HAMBI0203	HAMBI_3237	NA	NA	0	0
HAMBI0204	HAMBI_0006	NA	NA	2	1
HAMBI0204	HAMBI_0097	NA	NA	0	0
HAMBI0204	HAMBI_0105	NA	NA	45	62
HAMBI0204	HAMBI_0262	NA	NA	0	0
HAMBI0204	HAMBI_0403	NA	NA	355	217
HAMBI0204	HAMBI_1279	NA	NA	24	18
HAMBI0204	HAMBI_1287	NA	NA	1243	981
HAMBI0204	HAMBI_1292	NA	NA	226	178
HAMBI0204	HAMBI_1299	NA	NA	19	13
HAMBI0204	HAMBI_1842	NA	NA	0	0
HAMBI0204	HAMBI_1896	NA	NA	1	1
HAMBI0204	HAMBI_1923	NA	NA	378	348
HAMBI0204	HAMBI_1972	NA	NA	446	246
HAMBI0204	HAMBI_1977	NA	NA	326	360
HAMBI0204	HAMBI_1988	NA	NA	0	0
HAMBI0204	HAMBI_2159	NA	NA	1	1
HAMBI0204	HAMBI_2160	NA	NA	2	3
HAMBI0204	HAMBI_2164	NA	NA	0	0
HAMBI0204	HAMBI_2443	NA	NA	0	0
HAMBI0204	HAMBI_2494	NA	NA	0	0
HAMBI0204	HAMBI_2659	NA	NA	1659	2292
HAMBI0204	HAMBI_2792	NA	NA	0	0
HAMBI0204	HAMBI_3031	NA	NA	0	0
HAMBI0204	HAMBI_3237	NA	NA	0	0
HAMBI0205	HAMBI_0006	NA	NA	49	33
HAMBI0205	HAMBI_0097	NA	NA	0	0
HAMBI0205	HAMBI_0105	NA	NA	585	701
HAMBI0205	HAMBI_0262	NA	NA	0	0
HAMBI0205	HAMBI_0403	NA	NA	157	83
HAMBI0205	HAMBI_1279	NA	NA	7	4
HAMBI0205	HAMBI_1287	NA	NA	4549	3117
HAMBI0205	HAMBI_1292	NA	NA	2399	1644
HAMBI0205	HAMBI_1299	NA	NA	2	1
HAMBI0205	HAMBI_1842	NA	NA	0	0
HAMBI0205	HAMBI_1896	NA	NA	21	25
HAMBI0205	HAMBI_1923	NA	NA	1895	1515
HAMBI0205	HAMBI_1972	NA	NA	180	86
HAMBI0205	HAMBI_1977	NA	NA	2386	2289
HAMBI0205	HAMBI_1988	NA	NA	0	0
HAMBI0205	HAMBI_2159	NA	NA	8	9
HAMBI0205	HAMBI_2160	NA	NA	50	79
HAMBI0205	HAMBI_2164	NA	NA	20	19
HAMBI0205	HAMBI_2443	NA	NA	0	0
HAMBI0205	HAMBI_2494	NA	NA	180	215
HAMBI0205	HAMBI_2659	NA	NA	13354	16015
HAMBI0205	HAMBI_2792	NA	NA	0	0
HAMBI0205	HAMBI_3031	NA	NA	0	0
HAMBI0205	HAMBI_3237	NA	NA	0	0
HAMBI0206	HAMBI_0006	NA	NA	11	7
HAMBI0206	HAMBI_0097	NA	NA	0	0
HAMBI0206	HAMBI_0105	NA	NA	481	583
HAMBI0206	HAMBI_0262	NA	NA	0	0
HAMBI0206	HAMBI_0403	NA	NA	260	140
HAMBI0206	HAMBI_1279	NA	NA	11	7
HAMBI0206	HAMBI_1287	NA	NA	6350	4399
