sample	transfer_category	transfer_volume_ul	replicate	prey_history	predator_history	time_days
SH-MET-121	hi	1800	A	anc	anc	8
SH-MET-122	hi	1800	C	anc	anc	8
SH-MET-123	hi	1800	E	anc	anc	8
SH-MET-124	hi	1800	A	anc	evo	8
SH-MET-125	hi	1800	C	anc	evo	8
SH-MET-126	hi	1800	E	anc	evo	8
SH-MET-127	hi	1800	A	evo	anc	8
SH-MET-128	hi	1800	C	evo	anc	8
SH-MET-129	hi	1800	E	evo	anc	8
SH-MET-130	hi	1800	A	evo	evo	8
SH-MET-131	hi	1800	C	evo	evo	8
SH-MET-132	hi	1800	E	evo	evo	8
SH-MET-133	hi	1800	A	anc	anc	28
SH-MET-134	hi	1800	C	anc	anc	28
SH-MET-135	hi	1800	E	anc	anc	28
SH-MET-136	hi	1800	A	anc	evo	28
SH-MET-137	hi	1800	C	anc	evo	28
SH-MET-138	hi	1800	E	anc	evo	28
SH-MET-139	hi	1800	A	evo	anc	28
SH-MET-140	hi	1800	C	evo	anc	28
SH-MET-141	hi	1800	E	evo	anc	28
SH-MET-142	hi	1800	A	evo	evo	28
SH-MET-143	hi	1800	C	evo	evo	28
SH-MET-144	hi	1800	E	evo	evo	28
SH-MET-145	hi	1800	A	anc	anc	60
SH-MET-146	hi	1800	C	anc	anc	60
SH-MET-147	hi	1800	E	anc	anc	60
SH-MET-148	hi	1800	A	anc	evo	60
SH-MET-149	hi	1800	C	anc	evo	60
SH-MET-150	hi	1800	E	anc	evo	60
SH-MET-151	hi	1800	A	evo	anc	60
SH-MET-152	hi	1800	C	evo	anc	60
SH-MET-153	hi	1800	E	evo	anc	60
SH-MET-154	hi	1800	A	evo	evo	60
SH-MET-155	hi	1800	C	evo	evo	60
SH-MET-156	hi	1800	E	evo	evo	60
