sample	sample_number	replicate	prey_history	predator_history	time_days	ciliates_ml	bacteria_od	condition_prey_pred
HAMBI0193	193	A	anc	anc	4	38474.4	0.223	anc_anc
HAMBI0194	194	C	anc	anc	4	47715.8	0.214	anc_anc
HAMBI0195	195	E	anc	anc	4	35834	0.229	anc_anc
HAMBI0196	196	A	anc	evo	4	20934.6	0.192	anc_evo
HAMBI0197	197	C	anc	evo	4	33382.2	0.194	anc_evo
HAMBI0198	198	E	anc	evo	4	31496.2	0.205	anc_evo
HAMBI0199	199	A	evo	anc	4	26592.6	0.292	evo_anc
HAMBI0200	200	C	evo	anc	4	28478.6	0.255	evo_anc
HAMBI0201	201	E	evo	anc	4	33382.2	0.283	evo_anc
HAMBI0202	202	A	evo	evo	4	28478.6	0.282	evo_evo
HAMBI0203	203	C	evo	evo	4	37720	0.244	evo_evo
HAMBI0204	204	E	evo	evo	4	26969.8	0.24	evo_evo
HAMBI0205	205	A	anc	anc	8	19991.6	0.192	anc_anc
HAMBI0206	206	C	anc	anc	8	22066.2	0.197	anc_anc
HAMBI0207	207	E	anc	anc	8	21123.2	0.192	anc_anc
HAMBI0208	208	A	anc	evo	8	44132.4	0.181	anc_evo
HAMBI0209	209	C	anc	evo	8	47338.6	0.19	anc_evo
HAMBI0210	210	E	anc	evo	8	43189.4	0.182	anc_evo
HAMBI0211	211	A	evo	anc	8	11127.4	0.316	evo_anc
HAMBI0212	212	C	evo	anc	8	11693.2	0.296	evo_anc
HAMBI0213	213	E	evo	anc	8	14333.6	0.243	evo_anc
HAMBI0214	214	A	evo	evo	8	8109.8	0.265	evo_evo
HAMBI0215	215	C	evo	evo	8	19991.6	0.221	evo_evo
HAMBI0216	216	E	evo	evo	8	17539.8	0.221	evo_evo
HAMBI0217	217	A	anc	anc	12	18105.6	0.21	anc_anc
HAMBI0218	218	C	anc	anc	12	19048.6	0.226	anc_anc
HAMBI0219	219	E	anc	anc	12	21311.8	0.226	anc_anc
HAMBI0220	220	A	anc	evo	12	27158.4	0.239	anc_evo
HAMBI0221	221	C	anc	evo	12	41869.2	0.255	anc_evo
HAMBI0222	222	E	anc	evo	12	35079.6	0.227	anc_evo
HAMBI0223	223	A	evo	anc	12	13956.4	0.326	evo_anc
HAMBI0224	224	C	evo	anc	12	11316	0.306	evo_anc
HAMBI0225	225	E	evo	anc	12	12259	0.273	evo_anc
HAMBI0226	226	A	evo	evo	12	9618.6	0.3	evo_evo
HAMBI0227	227	C	evo	evo	12	22066.2	0.274	evo_evo
HAMBI0228	228	E	evo	evo	12	18671.4	0.22	evo_evo
HAMBI0229	229	A	anc	anc	16	42246.4	0.238	anc_anc
HAMBI0230	230	C	anc	anc	16	13767.8	0.224	anc_anc
HAMBI0231	231	E	anc	anc	16	12447.6	0.281	anc_anc
HAMBI0232	232	A	anc	evo	16	15842.4	0.248	anc_evo
HAMBI0233	233	C	anc	evo	16	46395.6	0.236	anc_evo
HAMBI0234	234	E	anc	evo	16	46584.2	0.244	anc_evo
HAMBI0235	235	A	evo	anc	16	6186.8	0.345	evo_anc
HAMBI0236	236	C	evo	anc	16	7355.4	0.326	evo_anc
HAMBI0237	237	E	evo	anc	16	13579.2	0.308	evo_anc
HAMBI0238	238	A	evo	evo	16	7921.2	0.299	evo_evo
HAMBI0239	239	C	evo	evo	16	11316	0.309	evo_evo
HAMBI0240	240	E	evo	evo	16	28101.4	0.221	evo_evo
HAMBI0241	241	A	anc	anc	20	8675.6	0.259	anc_anc
HAMBI0242	242	C	anc	anc	20	13956.4	0.257	anc_anc
HAMBI0243	243	E	anc	anc	20	9995.8	0.268	anc_anc
HAMBI0244	244	A	anc	evo	20	28290	0.257	anc_evo
HAMBI0245	245	C	anc	evo	20	32250.6	0.246	anc_evo
HAMBI0246	246	E	anc	evo	20	35456.8	0.239	anc_evo
HAMBI0247	247	A	evo	anc	20	3394.8	0.319	evo_anc
HAMBI0248	248	C	evo	anc	20	3394.8	0.29	evo_anc
HAMBI0249	249	E	evo	anc	20	3960.6	0.25	evo_anc
HAMBI0250	250	A	evo	evo	20	9052.8	0.269	evo_evo
HAMBI0251	251	C	evo	evo	20	7732.6	0.306	evo_evo
HAMBI0252	252	E	evo	evo	20	8109.8	0.263	evo_evo
HAMBI0253	253	A	anc	anc	24	13767.8	0.223	anc_anc
HAMBI0254	254	C	anc	anc	24	26026.8	0.229	anc_anc
HAMBI0255	255	E	anc	anc	24	24895.2	0.226	anc_anc
HAMBI0256	256	A	anc	evo	24	46207	0.246	anc_evo
HAMBI0257	257	C	anc	evo	24	45452.6	0.247	anc_evo
HAMBI0258	258	E	anc	evo	24	47338.6	0.247	anc_evo
HAMBI0259	259	A	evo	anc	24	11693.2	0.295	evo_anc
HAMBI0260	260	C	evo	anc	24	10561.6	0.329	evo_anc
HAMBI0261	261	E	evo	anc	24	5280.8	0.287	evo_anc
HAMBI0262	262	A	evo	evo	24	11693.2	0.284	evo_evo
HAMBI0263	263	C	evo	evo	24	39606	0.283	evo_evo
HAMBI0264	264	E	evo	evo	24	20180.2	0.242	evo_evo
HAMBI0265	265	A	anc	anc	28	38097.2	0.217	anc_anc
HAMBI0266	266	C	anc	anc	28	40360.4	0.183	anc_anc
HAMBI0267	267	E	anc	anc	28	22254.8	0.216	anc_anc
HAMBI0268	268	A	anc	evo	28	13202	0.245	anc_evo
HAMBI0269	269	C	anc	evo	28	7166.8	0.254	anc_evo
HAMBI0270	270	E	anc	evo	28	16031	0.256	anc_evo
HAMBI0271	271	A	evo	anc	28	20557.4	0.299	evo_anc
HAMBI0272	272	C	evo	anc	28	15276.6	0.312	evo_anc
HAMBI0273	273	E	evo	anc	28	6412.4	0.269	evo_anc
HAMBI0274	274	A	evo	evo	28	13013.4	0.267	evo_evo
HAMBI0275	275	C	evo	evo	28	22066.2	0.311	evo_evo
HAMBI0276	276	E	evo	evo	28	12447.6	0.256	evo_evo
HAMBI0277	277	A	anc	nopredator	12	NA	0.574	anc_nopredator
HAMBI0278	278	C	anc	nopredator	12	NA	0.551	anc_nopredator
HAMBI0279	279	E	anc	nopredator	12	NA	0.55	anc_nopredator
HAMBI0280	280	A	evo	nopredator	12	NA	0.5	evo_nopredator
HAMBI0281	281	C	evo	nopredator	12	NA	0.518	evo_nopredator
HAMBI0282	282	E	evo	nopredator	12	NA	0.479	evo_nopredator
HAMBI0283	283	A	anc	nopredator	28	NA	0.573	anc_nopredator
HAMBI0284	284	C	anc	nopredator	28	NA	0.581	anc_nopredator
HAMBI0285	285	E	anc	nopredator	28	NA	0.575	anc_nopredator
HAMBI0286	286	A	evo	nopredator	28	NA	0.561	evo_nopredator
HAMBI0287	287	C	evo	nopredator	28	NA	0.588	evo_nopredator
HAMBI0288	288	E	evo	nopredator	28	NA	0.526	evo_nopredator
HAMBI0389	389	C	anc	evo	32	44698.2	0.256	anc_evo
HAMBI0391	391	A	evo	anc	32	16219.6	0.282	evo_anc
HAMBI0392	392	C	evo	anc	32	10373	0.281	evo_anc
HAMBI0393	393	E	evo	anc	32	13390.6	0.219	evo_anc
HAMBI0394	394	A	evo	evo	32	12636.2	0.264	evo_evo
HAMBI0395	395	C	evo	evo	32	9618.6	0.294	evo_evo
HAMBI0396	396	E	evo	evo	32	15088	0.277	evo_evo
HAMBI0402	402	E	anc	evo	36	40549	0.246	anc_evo
HAMBI0403	403	A	evo	anc	36	31307.6	0.305	evo_anc
HAMBI0405	405	E	evo	anc	36	13767.8	0.269	evo_anc
HAMBI0410	410	C	anc	anc	40	10184.4	0.242	anc_anc
HAMBI0414	414	E	anc	evo	40	27535.6	0.26	anc_evo
HAMBI0415	415	A	evo	anc	40	7544	0.322	evo_anc
HAMBI0416	416	C	evo	anc	40	12259	0.318	evo_anc
HAMBI0417	417	E	evo	anc	40	11316	0.264	evo_anc
HAMBI0418	418	A	evo	evo	40	19614.4	0.3	evo_evo
HAMBI0419	419	C	evo	evo	40	21689	0.313	evo_evo
HAMBI0420	420	E	evo	evo	40	14710.8	0.266	evo_evo
HAMBI0422	422	C	anc	anc	44	8675.6	0.257	anc_anc
HAMBI0423	423	E	anc	anc	44	10561.6	0.223	anc_anc
HAMBI0425	425	C	anc	evo	44	29233	0.293	anc_evo
HAMBI0426	426	E	anc	evo	44	25838.2	0.272	anc_evo
HAMBI0427	427	A	evo	anc	44	4903.6	0.324	evo_anc
HAMBI0428	428	C	evo	anc	44	11881.8	0.306	evo_anc
HAMBI0429	429	E	evo	anc	44	9052.8	0.24	evo_anc
HAMBI0430	430	A	evo	evo	44	23575	0.31	evo_evo
HAMBI0431	431	C	evo	evo	44	19614.4	0.316	evo_evo
HAMBI0432	432	E	evo	evo	44	17351.2	0.292	evo_evo
HAMBI0433	433	A	anc	anc	48	3960.6	0.343	anc_anc
HAMBI0434	434	C	anc	anc	48	10938.8	0.282	anc_anc
HAMBI0435	435	E	anc	anc	48	15465.2	0.252	anc_anc
