sample	replicate	prey_history	predator_history	time_days	condition_prey_pred
SH-MET-121	A	anc	anc	8	anc_anc
SH-MET-122	C	anc	anc	8	anc_anc
SH-MET-123	E	anc	anc	8	anc_anc
SH-MET-124	A	anc	evo	8	anc_evo
SH-MET-125	C	anc	evo	8	anc_evo
SH-MET-126	E	anc	evo	8	anc_evo
SH-MET-127	A	evo	anc	8	evo_anc
SH-MET-128	C	evo	anc	8	evo_anc
SH-MET-129	E	evo	anc	8	evo_anc
SH-MET-130	A	evo	evo	8	evo_evo
SH-MET-131	C	evo	evo	8	evo_evo
SH-MET-132	E	evo	evo	8	evo_evo
SH-MET-133	A	anc	anc	28	anc_anc
SH-MET-134	C	anc	anc	28	anc_anc
SH-MET-135	E	anc	anc	28	anc_anc
SH-MET-136	A	anc	evo	28	anc_evo
SH-MET-137	C	anc	evo	28	anc_evo
SH-MET-138	E	anc	evo	28	anc_evo
SH-MET-139	A	evo	anc	28	evo_anc
SH-MET-140	C	evo	anc	28	evo_anc
SH-MET-141	E	evo	anc	28	evo_anc
SH-MET-142	A	evo	evo	28	evo_evo
SH-MET-143	C	evo	evo	28	evo_evo
SH-MET-144	E	evo	evo	28	evo_evo
SH-MET-145	A	anc	anc	60	anc_anc
SH-MET-146	C	anc	anc	60	anc_anc
SH-MET-147	E	anc	anc	60	anc_anc
SH-MET-148	A	anc	evo	60	anc_evo
SH-MET-149	C	anc	evo	60	anc_evo
SH-MET-150	E	anc	evo	60	anc_evo
SH-MET-151	A	evo	anc	60	evo_anc
SH-MET-152	C	evo	anc	60	evo_anc
SH-MET-153	E	evo	anc	60	evo_anc
SH-MET-154	A	evo	evo	60	evo_evo
SH-MET-155	C	evo	evo	60	evo_evo
SH-MET-156	E	evo	evo	60	evo_evo
