strainID	num_contigs	total_len
HAMBI_0006	1	6559726
HAMBI_0097	3	3507189
HAMBI_0105	3	5423958
HAMBI_0262	1	3484100
HAMBI_0403	2	5852546
HAMBI_1279	2	4884924
HAMBI_1287	3	4732180
HAMBI_1292	1	3814514
HAMBI_1299	2	4738233
HAMBI_1842	7	5527198
HAMBI_1896	1	5136875
HAMBI_1923	1	4243755
HAMBI_1972	1	4578158
HAMBI_1977	1	6670897
HAMBI_1988	1	8421768
HAMBI_2159	2	6589281
HAMBI_2160	1	3721798
HAMBI_2164	2	6693411
HAMBI_2443	3	5237024
HAMBI_2494	2	6711709
HAMBI_2659	1	5004263
HAMBI_2792	3	2187333
HAMBI_3031	1	5543186
HAMBI_3237	4	7316924
