strainID	name	chrom	start	end	prediction_tool
HAMBI_0006	ISPsy14	HAMBI_0006_chrm01_circ	1654403	1656998	MGE_finder
HAMBI_0006	ISPpu13	HAMBI_0006_chrm01_circ	1657077	1659314	MGE_finder
HAMBI_0006	ISPst5	HAMBI_0006_chrm01_circ	966933	968123	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	4352025	4353216	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	3613385	3614576	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	3431386	3432577	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	3573766	3574957	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	3575322	3576513	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	4056406	4057597	MGE_finder
HAMBI_0006	ISPst7	HAMBI_0006_chrm01_circ	1601569	1602760	MGE_finder
HAMBI_0006	ISPen2	HAMBI_0006_chrm01_circ	4057633	4058864	MGE_finder
HAMBI_0006	ISPen2	HAMBI_0006_chrm01_circ	1801844	1803075	MGE_finder
HAMBI_0006	ISPsy5	HAMBI_0006_chrm01_circ	1664134	1666218	MGE_finder
HAMBI_0006	ISPsy5	HAMBI_0006_chrm01_circ	1661052	1663136	MGE_finder
HAMBI_0006	ISPsy45	HAMBI_0006_chrm01_circ	976666	977817	MGE_finder
HAMBI_0006	ISPsy45	HAMBI_0006_chrm01_circ	4301181	4302332	MGE_finder
HAMBI_0006	ISPs1	HAMBI_0006_chrm01_circ	2306216	2307112	MGE_finder
HAMBI_0006	cn_3792_ISPpu13	HAMBI_0006_chrm01_circ	1657076	1660868	MGE_finder
HAMBI_0006	cn_5268_ISPst5	HAMBI_0006_chrm01_circ	962855	968123	MGE_finder
HAMBI_0006	cn_2748_ISPst7	HAMBI_0006_chrm01_circ	3573765	3576513	MGE_finder
HAMBI_0006	cn_39255_ISPst7	HAMBI_0006_chrm01_circ	3575321	3614576	MGE_finder
HAMBI_0006	cn_22432_ISPst7	HAMBI_0006_chrm01_circ	4056405	4078837	MGE_finder
HAMBI_0006	cn_51929_ISPst7	HAMBI_0006_chrm01_circ	4301287	4353216	MGE_finder
HAMBI_0006	cn_3818_ISPsy5	HAMBI_0006_chrm01_circ	1659318	1663136	MGE_finder
HAMBI_0006	cn_3078_ISPsy5	HAMBI_0006_chrm01_circ	1661051	1664129	MGE_finder
HAMBI_0006	cn_2355_ISPsy5	HAMBI_0006_chrm01_circ	1663863	1666218	MGE_finder
HAMBI_0006	cn_10879_ISPsy45	HAMBI_0006_chrm01_circ	966938	977817	MGE_finder
HAMBI_0018	IS511	HAMBI_0018_chrm01_circ	2220578	2221846	MGE_finder
HAMBI_0018	IS511	HAMBI_0018_chrm01_circ	1762966	1764234	MGE_finder
HAMBI_0018	IS511	HAMBI_0018_chrm01_circ	2843757	2845025	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	1524351	1525883	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	204966	206498	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	608596	610128	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	2634637	2636169	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	2018874	2020406	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	1304193	1305725	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	2210174	2211706	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	2433699	2435231	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	2642108	2643640	MGE_finder
HAMBI_0018	ISSsp2	HAMBI_0018_chrm01_circ	3074216	3075748	MGE_finder
HAMBI_0018	ISRhsp4	HAMBI_0018_chrm01_circ	1767204	1768026	MGE_finder
HAMBI_0018	ISRhsp4	HAMBI_0018_chrm01_circ	2327339	2328161	MGE_finder
HAMBI_0018	ISRhsp4	HAMBI_0018_chrm01_circ	2561418	2562240	MGE_finder
HAMBI_0018	ISRhsp4	HAMBI_0018_chrm01_circ	2770050	2770872	MGE_finder
HAMBI_0018	ISRhsp4	HAMBI_0018_chrm01_circ	602103	602925	MGE_finder
HAMBI_0018	cn_9004_ISSsp2	HAMBI_0018_chrm01_circ	2634636	2643640	MGE_finder
HAMBI_0097	ISAba49	HAMBI_0097_chrm01_circ	1413348	1415880	MGE_finder
HAMBI_0097	ISAba49	HAMBI_0097_chrm01_circ	2896175	2898707	MGE_finder
HAMBI_0097	ISAba49	HAMBI_0097_chrm01_circ	3049470	3052002	MGE_finder
HAMBI_0097	ISAba49	HAMBI_0097_chrm01_circ	133456	135988	MGE_finder
HAMBI_0097	ISAcsp5	HAMBI_0097_chrm01_circ	1490636	1491922	MGE_finder
HAMBI_0097	ISAcsp5	HAMBI_0097_chrm01_circ	1884573	1885860	MGE_finder
HAMBI_0097	ISAba14	HAMBI_0097_chrm01_circ	2245644	2246925	MGE_finder
HAMBI_0097	ISAba14	HAMBI_0097_chrm01_circ	1943022	1944303	MGE_finder
HAMBI_0097	ISAba14	HAMBI_0097_chrm01_circ	2314366	2315647	MGE_finder
HAMBI_0097	ISAba1	HAMBI_0097_chrm01_circ	2479266	2480445	MGE_finder
HAMBI_0097	ISAba1	HAMBI_0097_chrm01_circ	1703222	1704401	MGE_finder
HAMBI_0097	ISAba1	HAMBI_0097_chrm01_circ	1818613	1819792	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	2412177	2413335	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	1118102	1119260	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	1974264	1975422	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	56739	57897	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	1741236	1742394	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	717169	718327	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	2192594	2193753	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	3275172	3276331	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_chrm01_circ	2531077	2532236	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	1699981	1701068	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	571918	573004	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	13384	14470	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	1782081	1783167	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	2610056	2611142	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	1664276	1665362	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	2359045	2360131	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	796663	797749	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	2922613	2923699	MGE_finder
HAMBI_0097	ISAba125	HAMBI_0097_chrm01_circ	840937	841930	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	92217	93317	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	622763	623863	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	645415	646515	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	2263266	2264366	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	1676282	1677381	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	624734	625724	MGE_finder
HAMBI_0097	ISAba11	HAMBI_0097_chrm01_circ	660839	661935	MGE_finder
HAMBI_0097	ISAba18	HAMBI_0097_chrm01_circ	2249536	2250844	MGE_finder
HAMBI_0097	ISAba34	HAMBI_0097_chrm01_circ	2514437	2515707	MGE_finder
HAMBI_0097	IS18	HAMBI_0097_chrm01_circ	1015097	1016170	MGE_finder
HAMBI_0097	IS18	HAMBI_0097_chrm01_circ	2946271	2947344	MGE_finder
HAMBI_0097	IS18	HAMBI_0097_chrm01_circ	2548902	2549975	MGE_finder
HAMBI_0097	IS18	HAMBI_0097_chrm01_circ	2510752	2511825	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	2545122	2546161	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	2522997	2524035	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	2565899	2566937	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	2346657	2347695	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	1080881	1081918	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	2011991	2013029	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	3189906	3190943	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	1495671	1496709	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_chrm01_circ	2424627	2425665	MGE_finder
HAMBI_0097	ISAba31	HAMBI_0097_chrm01_circ	2904706	2905563	MGE_finder
HAMBI_0097	ISAba31	HAMBI_0097_chrm01_circ	494438	495295	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	1599595	1600477	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	2631751	2632633	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	844159	845041	MGE_finder
